Gene	GeneDesc
K06834	disintegrin and metalloproteinase domain-containing protein 9 [EC:3.4.24.-]
K19825	2-alkenal reductase (NADP+) [EC:1.3.1.102]
K16450	mycolactone core lactone polyketide synthase MlsA2
K05999	xanthomonalisin [EC:3.4.21.101]
K07406	alpha-galactosidase [EC:3.2.1.22]
K09622	kallikrein 14 [EC:3.4.21.-]
K13655	HTH-type transcriptional regulator / antitoxin MqsA
K16769	cytoskeleton-associated protein 2
K16819	angiomotin
K06174	ATP-binding cassette, sub-family E, member 1
K11028	vacuolating cytotoxin
K06943	nucleolar GTP-binding protein
K17082	kindlin 1
K12094	cag pathogenicity island protein 9
K09555	BCL2-associated athanogene 1
K03175	TNF receptor-associated factor 6 [EC:2.3.2.27]
K17394	microRNA 23b
K20177	vacuolar protein sorting-associated protein 3
K18207	protein O-mannose beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.312]
K07556	ATP synthase mitochondrial F1 complex assembly factor 2
K01587	phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:4.1.1.21 6.3.2.6]
K04276	G protein-coupled receptor 35
K17265	Ras GTPase-activating protein-binding protein 1 [EC:3.6.4.12 3.6.4.13]
K19617	two-component system, response regulator FitH
K19565	8-amino-7-oxononanoate transporter
K10095	galectin-12
K16834	sclerostin
K10421	CAP-Gly domain-containing linker protein 1
K11218	Janus kinase 3 [EC:2.7.10.2]
K11587	chromobox protein 5
K09322	homeobox protein MOX
K03567	glycine cleavage system transcriptional repressor
K18825	dihydropteroate synthase type 3 [EC:2.5.1.15]
K17377	microRNA 449a
K21357	serine/threonine-protein kinase ULK1 [EC:2.7.11.1]
K22220	dibenzothiophene sulfone monooxygenase [EC:1.14.14.22]
K00787	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K08054	calnexin
K17790	mitochondrial import inner membrane translocase subunit TIM22
K00167	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00223	Delta24(24(1))-sterol reductase [EC:1.3.1.71]
K13621	betaine lipid synthase
K16037	4,5-epoxidase
K02750	PTS system, alpha-glucoside-specific IIC component
K01143	exodeoxyribonuclease (lambda-induced) [EC:3.1.11.3]
K06717	ADP-ribosyltransferase 4 [EC:2.4.2.31]
K17812	cytochrome P450 family 1 subfamily C
K02682	prepilin peptidase dependent protein D
K03885	NADH dehydrogenase [EC:1.6.99.3]
K14510	serine/threonine-protein kinase CTR1 [EC:2.7.11.1]
K12229	dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
K21144	autophagy-related protein 31
K03258	translation initiation factor 4B
K05537	mannosylphosphate transferase [EC:2.7.8.-]
K17700	RAP1 GTPase activating protein 1
K08488	syntaxin 7
K14682	amino-acid N-acetyltransferase [EC:2.3.1.1]
K03691	peptide-O-fucosyltransferase [EC:2.4.1.221]
K14792	rRNA biogenesis protein RRP5
K14309	nuclear pore complex protein Nup93
K22224	acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
K14900	small nucleolar RNA snR74
K10334	ankyrin repeat and SOCS box protein 12
K02182	carnitine-CoA ligase [EC:6.2.1.48]
K06769	intercellular adhesion molecule 5
K20917	gasdermin-D
K10178	T-box protein 4
K10581	ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
K00106	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K05952	uncharacterized protein
K08190	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 14
K21974	probable RcsB/C two-component-system connector
K17122	microRNA 486
K17270	myelin-oligodendrocyte glycoprotein
K06958	RNase adapter protein RapZ
K00446	catechol 2,3-dioxygenase [EC:1.13.11.2]
K12042	troponin C, skeletal muscle
K06907	uncharacterized protein
K05661	ATP-binding cassette, subfamily B (MDR/TAP), member 6
K08819	cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23]
K05025	chloride intracellular channel protein 5
K20405	nitrogen permease regulator 2-like protein
K10582	ubiquitin-conjugating enzyme E2 Q [EC:2.3.2.23]
K09242	transcriptional regulatory protein LEU3
K16679	wengen
K21271	aurachin B dehydrogenase [EC:1.1.1.394]
K13049	carboxypeptidase PM20D1 [EC:3.4.17.-]
K01641	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
K15714	E3 ubiquitin-protein ligase ZNF645 [EC:2.3.2.27]
K18593	4-hydroxybutyryl-CoA synthetase (ADP-forming) [EC:6.2.1.-]
K18334	L-fuconate dehydratase [EC:4.2.1.68]
K16460	centrosomal protein CEP128
K22231	scyllo-inosose 3-dehydrogenase [EC:1.1.1.-]
K00464	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]
K06696	proteasome activator subunit 1 (PA28 alpha)
K01106	inositol-1,4,5-trisphosphate 5-phosphatase [EC:3.1.3.56]
K15505	DNA repair protein RAD5 [EC:3.6.4.-]
K16631	angiogenin [EC:3.1.27.-]
K19982	aminopyrrolnitrin oxygenase [EC:1.14.13.-]
K03097	casein kinase II subunit alpha [EC:2.7.11.1]
K17990	vanadium chloroperoxidase [EC:1.11.1.10]
K16984	microRNA 26a
K06224	hedgehog
K00863	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
K09867	aquaporin-5
K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K13552	paromamine 6'-oxidase [EC:1.1.3.43]
K21638	anti-adapter protein IraM
K12097	cag pathogenicity island protein 12
K18188	protein PET117
K07412	cytochrome P450 family 2 subfamily B [EC:1.14.14.1]
K20108	PTS system, maltose-specific IIC component
K19662	classical protein kinase C beta type [EC:2.7.11.13]
K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
K10874	RAD52 motif-containing protein 1
K17954	cytochrome P450 family 32
K00750	glycogenin [EC:2.4.1.186]
K12643	anthranilate N-methyltransferase [EC:2.1.1.111]
K05424	leptin
K08770	ubiquitin C
K13810	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K06937	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase [EC:2.1.1.-]
K10900	werner syndrome ATP-dependent helicase [EC:3.6.4.12]
K17017	microRNA 200c
K14384	solute carrier family 5 (low affinity sodium-glucose cotransporter), member 4
K22181	F420H2:quinone oxidoreductase subunit N [EC:1.1.98.4]
K12658	4-hydroxyproline epimerase [EC:5.1.1.8]
K16718	centrosomin
K14718	solute carrier family 39 (zinc transporter), member 12
K11267	sister chromatid cohesion protein PDS5
K01148	poly(A)-specific ribonuclease [EC:3.1.13.4]
K16613	ornithine decarboxylase antizyme 2
K15004	cytochrome P450 family 12 [EC:1.14.-.-]
K17287	tandem C2 domains nuclear protein
K05433	interleukin 15
K03533	TorA specific chaperone
K20156	2-amino-4-deoxychorismate dehydrogenase [EC:1.3.99.24]
K22390	acid phosphatase type 7
K02703	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02250	competence protein ComK
K06351	inhibitor of KinA
K21547	C6 transcription factor Pro1
K01678	fumarate hydratase subunit beta [EC:4.2.1.2]
K04520	amyloid beta A4 protein
K02666	type IV pilus assembly protein PilQ
K09901	uncharacterized protein
K13935	malonate decarboxylase epsilon subunit [EC:2.3.1.39]
K06655	negative regulator of the PHO system [EC:2.7.11.22]
K10966	toxin co-regulated pilus biosynthesis protein J [EC:3.4.23.43 2.1.1.-]
K07349	minor fimbrial subunit
K19204	pimaricinolide synthase PimS2
K06084	F-box protein 20
K15578	nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]
K13906	cystatin-11
K19833	serine/threonine-protein kinase CLA4 [EC:2.7.11.1]
K07501	3'-5' exonuclease
K04534	guanine nucleotide-binding protein G(o) subunit alpha
K19686	ribonuclease VapC [EC:3.1.-.-]
K13115	coiled-coil domain-containing protein 130
K15140	mediator of RNA polymerase II transcription subunit 22, fungi type
K06653	CDK inhibitor PHO81
K18251	phthalate 3,4-dioxygenase subunit alpha [EC:1.14.12.-]
K12914	P-methyltransferase [EC:2.1.1.326]
K07545	(R)-benzylsuccinyl-CoA dehydrogenase [EC:1.3.8.3]
K19932	neuronal calcium sensor 1
K15729	microsomal prostaglandin-E synthase 1 [EC:5.3.99.3]
K18030	nicotinate dehydrogenase subunit B [EC:1.17.2.1]
K17157	microRNA 593
K15067	2-aminomuconate deaminase [EC:3.5.99.5]
K08855	cyclin G-associated kinase [EC:2.7.11.1]
K21908	membrane protein HdeD
K05851	adenylate cyclase, class 1 [EC:4.6.1.1]
K19138	CRISPR-associated protein Csm2
K03111	single-strand DNA-binding protein
K16419	mycolactone side chain polyketide synthase
K20655	Rho GTPase-activating protein SYDE
K19712	adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62]
K16025	methoxymalonate biosynthesis acyl carrier protein
K10565	chemotaxis protein MotD
K09943	uncharacterized protein
K07706	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]
K21805	protein N-lysine methyltransferase METTL21C [EC:2.1.1.-]
K17848	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2
K10580	ubiquitin-conjugating enzyme E2 N [EC:2.3.2.23]
K03451	betaine/carnitine transporter, BCCT family
K18933	tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]
K11899	type VI secretion system protein ImpD
K14468	malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298]
K04607	metabotropic glutamate receptor 4
K14703	solute carrier family 26, member 5
K13586	holdfast attachment protein HfaB
K00582	tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]
K12295	two-component system, LytTR family, response regulator ComE
K06020	sulfate-transporting ATPase [EC:3.6.3.25]
K04035	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]
K13117	ATP-dependent RNA helicase DDX35 [EC:3.6.4.13]
K18865	sRNA antisense regulator of IbsB protein
K03396	S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22]
K17534	mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25]
K06807	cadherin 20, type 2
K20433	C7-cyclitol 7-kinase [EC:2.7.1.214]
K20310	trafficking protein particle complex subunit 13
K20023	L-talarate/galactarate dehydratase [EC:4.2.1.156 4.2.1.42]
K19243	NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
K18252	phthalate 3,4-dioxygenase subunit beta [EC:1.14.12.-]
K02941	large subunit ribosomal protein LP0
K14463	microsomal triglyceride transfer protein large subunit
K00785	beta-galactosamide-alpha-2,3-sialyltransferase [EC:2.4.99.-]
K21630.1	GATA-type zinc finger protein 1
K18803	protein-histidine N-methyltransferase [EC:2.1.1.85]
K18197	rhamnogalacturonan endolyase [EC:4.2.2.23]
K20305	trafficking protein particle complex subunit 8
K20624	12-hydroxyjasmonoyl-L-amino acid 12-hydroxylase / fatty acid hydroxylase [EC:1.14.14.49]
K04209	neuropeptide Y receptor, invertebrate
K09965	uncharacterized protein
K00845	glucokinase [EC:2.7.1.2]
K11379	protein YNG1
K21296	tenellin biosynthesis cytochrome P450 monooxygenase
K01849	methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]
K12993	alpha-1,2-rhamnosyltransferase [EC:2.4.1.-]
K16023	acetyltransferase
K20602	mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]
K20459	lantibiotic transport system ATP-binding protein
K07552	MFS transporter, DHA1 family, multidrug resistance protein
K04957	hyperpolarization activated cyclic nucleotide-gated potassium channel 4
K13082	bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase [EC:1.1.1.219 1.1.1.234]
K16893	cation channel sperm-associated protein subunit beta
K22285	oxysterol-binding protein-related protein 8
K19418	membrane protein EpsK
K02163	apoptosis regulator BCL-W
K12268	accessory secretory protein Asp1
K04961	ryanodine receptor 1
K06856	immunoglobulin heavy chain
K15599	putative hydroxymethylpyrimidine transport system permease protein
K16598	C-C motif chemokine 27
K09691	lipopolysaccharide transport system ATP-binding protein
K12838	poly(U)-binding-splicing factor PUF60
K03313	Na+:H+ antiporter, NhaA family
K11018	thermolabile hemolysin
K15762	toluene monooxygenase system ferredoxin subunit
K21642	transcriptional repressor OPI1
K08738	cytochrome c
K16086	(13E)-labda-7,13-dien-15-ol synthase [EC:3.1.7.10]
K09251	putrescine aminotransferase [EC:2.6.1.82]
K18495	ferritin, mitochondrial
K02492	glutamyl-tRNA reductase [EC:1.2.1.70]
K02016	iron complex transport system substrate-binding protein
K10365	capping protein (actin filament) muscle Z-line, beta
K04514	Rho-associated protein kinase 1 [EC:2.7.11.1]
K14075	pancreatic lipase-related protein 2 [EC:3.1.1.3]
K10910	autoinducer 2-binding periplasmic protein LuxP
K13967	N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase [EC:5.1.3.9 2.7.1.60]
K21060	D-hydroxyproline dehydrogenase [EC:1.5.99.-]
K17956	cytochrome P450 family 34 subfamily A
K05814	sn-glycerol 3-phosphate transport system permease protein
K00622	arylamine N-acetyltransferase [EC:2.3.1.5]
K02109	F-type H+-transporting ATPase subunit b
K09909	uncharacterized protein
K15493	neuron-specific vesicular protein calcyon
K04038	light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]
K11957	neutral amino acid transport system ATP-binding protein
K09536	DnaJ homolog subfamily C member 16
K17616	CTD small phosphatase-like protein 2 [EC:3.1.3.-]
K13344	peroxin-13
K16882	protein piccolo
K08898	lemur tyrosine kinase 2 [EC:2.7.10.1]
K14005	protein transport protein SEC31
K21467	penicillin-binding protein 3
K08194	MFS transporter, ACS family, D-galactonate transporter
K08843	leucine-rich repeat kinase 1 [EC:2.7.11.1]
K20754	aqualysin 1 [EC:3.4.21.111]
K10211	4,4'-diaponeurosporenoate glycosyltransferase [EC:2.4.1.-]
K04641	bacteriorhodopsin
K09593	GRB2-associated-binding protein 1
K08661	mast cell peptidase 1 [EC:3.4.21.-]
K20081	N-methyltransferase StaMA [EC:2.1.1.-]
K09661	mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]
K01741	DNA-(apurinic or apyrimidinic site) lyase [EC:4.2.99.18]
K12750	myosin light chain 4
K15515	sulfoacetaldehyde dehydrogenase [EC:1.2.1.81]
K05771	glucocorticoid receptor
K03057	transcription elongation factor TFS
K18466	vacuolar protein sorting-associated protein 26
K12544	S-layer protein
K03623	ribonuclease inhibitor
K07540	benzylsuccinate synthase [EC:4.1.99.11]
K07912	Ras-related protein Rab-24
K14855	ribosome assembly protein 4
K09421	myb-related protein A
K01733	threonine synthase [EC:4.2.3.1]
K11646	3-dehydroquinate synthase II [EC:1.4.1.24]
K17926	sorting nexin-14
K17945	tropomyosin, fungi type
K17711	pentatricopeptide repeat domain-containing protein 2
K13715	staphopain B [EC:3.4.22.-]
K08535	liver X receptor beta
K08188	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 11
K00232	acyl-CoA oxidase [EC:1.3.3.6]
K22393	flavin reductase (NADH) subunit 1 [EC:1.5.1.36]
K12499	C-C motif chemokine 5
K22120	gliotoxin biosynthesis gamma-glutamylcyclotransferase [EC:2.3.2.-]
K10517	zinc finger and BTB domain-containing protein 46
K15213	TATA box-binding protein-associated factor RNA polymerase I subunit B
K02316	DNA primase [EC:2.7.7.-]
K06251	vitronectin
K10122	fructooligosaccharide transport system permease protein
K09177	transcription factor AP-2 gamma
K17099	annexin A13
K08375	neuropeptide FF receptor 2
K12791	Rho guanine nucleotide exchange factor 2
K20916	pyrin domain-only protein 3
K19711	L-serine 3-dehydrogenase (NAD+) [EC:1.1.1.387]
K19607	X-linked retinitis pigmentosa GTPase regulator
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K12559	myosin X
K20968	AraC family transcriptional regulator, exoenzyme S synthesis regulatory protein ExsA
K02179	cell cycle arrest protein BUB2
K00895	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
K18051	novel protein kinase C eta type [EC:2.7.11.13]
K05080	growth hormone receptor
K09925	uncharacterized protein
K10659	E3 ubiquitin-protein ligase MARCH4/9/11 [EC:2.3.2.27]
K17167	microRNA 215
K09001	anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
K10311	F-box protein 34
K07319	adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K09805	uncharacterized protein
K10464	kelch-like protein 28
K01370	caspase 1 [EC:3.4.22.36]
K04095	cell filamentation protein
K11593	eukaryotic translation initiation factor 2C
K03304	tellurite resistance protein
K05521	ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]
K17091	annexin A1
K05026	chloride intracellular channel protein 6
K04611	metabotropic X receptor
K11079	mannopine transport system permease protein
K21786	4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase [EC:2.1.1.-]
K19783	DNA polymerase alpha-associated DNA helicase A [EC:3.6.4.12]
K16069	disintegrin and metalloproteinase domain-containing protein 29 [EC:3.4.24.-]
K04058	type III secretion protein W
K19006	phosphatidylinositol phospholipase C, eta [EC:3.1.4.11]
K11281	nucleosome assembly protein 1-like 3
K13891	glutathione transport system permease protein
K11424	histone-lysine N-methyltransferase NSD2 [EC:2.1.1.43]
K07056	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
K20902	D-erythrulose 4-kinase [EC:2.7.1.210]
K00880	L-xylulokinase [EC:2.7.1.53]
K18770	penicillin-binding protein 4 [EC:2.4.1.129 3.4.16.4]
K14650	transcription initiation factor TFIID subunit 3
K18984	secretion system chaperone SsaE
K12165	ufm1-conjugating enzyme 1
K17228	dimethylsulfone monooxygenase [EC:1.14.14.35]
K21217	sodium-type polar flagellar protein MotX
K07289	AsmA protein
K18058	L-asparagine oxygenase [EC:1.14.11.39]
K00697	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K09557	BCL2-associated athanogene 3
K15315	enediyne core biosynthesis thioesterase
K03739	membrane protein involved in D-alanine export
K09978	uncharacterized protein
K02667	two-component system, NtrC family, response regulator PilR
K13502	syntaxin 4
K13812	bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]
K03539	ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]
K04953	cyclic nucleotide gated channel beta 3
K13929	malonate decarboxylase alpha subunit [EC:2.3.1.187]
K08440	G protein-coupled receptor 162
K07075	uncharacterized protein
K22320	2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412]
K01339	g-renin [EC:3.4.21.54]
K08125	proline arginine-rich end leucine-rich repeat protein
K13417	somatic embryogenesis receptor kinase 4 [EC:2.7.10.1 2.7.11.1]
K13488	chemotaxis-related protein WspB
K14749	ethylbenzene dioxygenase subunit beta [EC:1.14.12.-]
K21415	ankyrin repeat and SAM domain-containing protein 6
K01998	branched-chain amino acid transport system permease protein
