Gene	Path	PathDesc
K04427	ko05162	Measles
K04427	ko05168	Herpes simplex infection
K04427	ko05169	Epstein-Barr virus infection
K04427	ko05418	Fluid shear stress and atherosclerosis
K04143	ko04020	Calcium signaling pathway
K04143	ko04022	cGMP-PKG signaling pathway
K04143	ko04080	Neuroactive ligand-receptor interaction
K04143	ko04923	Regulation of lipolysis in adipocytes
K04143	ko04924	Renin secretion
K04143	ko04970	Salivary secretion
K00444	ko04150	mTOR signaling pathway
K00444	ko04310	Wnt signaling pathway
K00444	ko04360	Axon guidance
K00444	ko04390	Hippo signaling pathway
K00444	ko04550	Signaling pathways regulating pluripotency of stem cells
K00444	ko04916	Melanogenesis
K00444	ko05165	Human papillomavirus infection
K00444	ko05166	HTLV-I infection
K00444	ko05200	Pathways in cancer
K00444	ko05205	Proteoglycans in cancer
K00444	ko05217	Basal cell carcinoma
K00444	ko05224	Breast cancer
K00444	ko05225	Hepatocellular carcinoma
K00444	ko05226	Gastric cancer
K00589	ko00860	Porphyrin and chlorophyll metabolism
K00589	ko01100	Metabolic pathways
K00589	ko01110	Biosynthesis of secondary metabolites
K00589	ko01120	Microbial metabolism in diverse environments
K05137	ko04060	Cytokine-cytokine receptor interaction
K05137	ko04630	Jak-STAT signaling pathway
K12091	ko05120	Epithelial cell signaling in Helicobacter pylori infection
K07747	ko05010	Alzheimer's disease
K03966	ko00190	Oxidative phosphorylation
K03966	ko01100	Metabolic pathways
K03966	ko04723	Retrograde endocannabinoid signaling
K03966	ko04932	Non-alcoholic fatty liver disease (NAFLD)
K03966	ko05010	Alzheimer's disease
K03966	ko05012	Parkinson's disease
K03966	ko05016	Huntington's disease
K19549	ko01130	Biosynthesis of antibiotics
K15067	ko00380	Tryptophan metabolism
K18312	ko00643	Styrene degradation
K18312	ko01100	Metabolic pathways
K18312	ko01120	Microbial metabolism in diverse environments
K15747	ko00906	Carotenoid biosynthesis
K15747	ko01100	Metabolic pathways
K15747	ko01110	Biosynthesis of secondary metabolites
K16450	ko01052	Type I polyketide structures
K20214	ko04013	MAPK signaling pathway - fly
K02064	ko02010	ABC transporters
K16062	ko04060	Cytokine-cytokine receptor interaction
K16062	ko04062	Chemokine signaling pathway
K16062	ko04064	NF-kappa B signaling pathway
K11220	ko04062	Chemokine signaling pathway
K11220	ko04217	Necroptosis
K11220	ko04380	Osteoclast differentiation
K11220	ko04620	Toll-like receptor signaling pathway
K11220	ko04621	NOD-like receptor signaling pathway
K11220	ko04630	Jak-STAT signaling pathway
K11220	ko04658	Th1 and Th2 cell differentiation
K11220	ko04659	Th17 cell differentiation
K11220	ko04917	Prolactin signaling pathway
K11220	ko04919	Thyroid hormone signaling pathway
K11220	ko04933	AGE-RAGE signaling pathway in diabetic complications
K11220	ko05140	Leishmaniasis
K11220	ko05145	Toxoplasmosis
K11220	ko05152	Tuberculosis
K11220	ko05160	Hepatitis C
K11220	ko05161	Hepatitis B
K11220	ko05162	Measles
K11220	ko05164	Influenza A
K11220	ko05165	Human papillomavirus infection
K11220	ko05167	Kaposi's sarcoma-associated herpesvirus infection
K11220	ko05168	Herpes simplex infection
K11220	ko05200	Pathways in cancer
K11220	ko05212	Pancreatic cancer
K11220	ko05321	Inflammatory bowel disease (IBD)
K02108	ko00190	Oxidative phosphorylation
K02108	ko00195	Photosynthesis
K02108	ko01100	Metabolic pathways
K18248	ko00627	Aminobenzoate degradation
K18248	ko01120	Microbial metabolism in diverse environments
K17724	ko00660	C5-Branched dibasic acid metabolism
K04334	ko02026	Biofilm formation - Escherichia coli
K09553	ko05020	Prion diseases
K00608	ko00240	Pyrimidine metabolism
K00608	ko00250	Alanine, aspartate and glutamate metabolism
K00608	ko01100	Metabolic pathways
K02828	ko00190	Oxidative phosphorylation
K02828	ko01100	Metabolic pathways
K22098	ko00950	Isoquinoline alkaloid biosynthesis
K12637	ko00905	Brassinosteroid biosynthesis
K12637	ko01100	Metabolic pathways
K12637	ko01110	Biosynthesis of secondary metabolites
K18394	ko00403	Indole diterpene alkaloid biosynthesis
K18394	ko01110	Biosynthesis of secondary metabolites
K12666	ko00510	N-Glycan biosynthesis
K12666	ko00513	Various types of N-glycan biosynthesis
K12666	ko01100	Metabolic pathways
K12666	ko04141	Protein processing in endoplasmic reticulum
K04274	ko04080	Neuroactive ligand-receptor interaction
K21465	ko00550	Peptidoglycan biosynthesis
K20963	ko05111	Biofilm formation - Vibrio cholerae
K02850	ko00540	Lipopolysaccharide biosynthesis
K02850	ko01100	Metabolic pathways
K00453	ko00380	Tryptophan metabolism
K00453	ko01100	Metabolic pathways
K04146	ko04080	Neuroactive ligand-receptor interaction
K04146	ko04728	Dopaminergic synapse
K04554	ko04120	Ubiquitin mediated proteolysis
K04554	ko04141	Protein processing in endoplasmic reticulum
K04554	ko05012	Parkinson's disease
K16387	ko01052	Type I polyketide structures
K04118	ko00362	Benzoate degradation
K04118	ko01120	Microbial metabolism in diverse environments
K20969	ko02025	Biofilm formation - Pseudomonas aeruginosa
K04738	ko04060	Cytokine-cytokine receptor interaction
K04738	ko04210	Apoptosis
K04738	ko04630	Jak-STAT signaling pathway
K04738	ko05200	Pathways in cancer
K13057	ko00500	Starch and sucrose metabolism
K13057	ko01100	Metabolic pathways
K08736	ko01524	Platinum drug resistance
K08736	ko03430	Mismatch repair
K08736	ko05200	Pathways in cancer
K08736	ko05210	Colorectal cancer
K04913	ko04927	Cortisol synthesis and secretion
K04913	ko04971	Gastric acid secretion
K04686	ko04350	TGF-beta signaling pathway
K16351	ko04360	Axon guidance
K16351	ko04514	Cell adhesion molecules (CAMs)
K13844	ko05144	Malaria
K09392	ko04110	Cell cycle
K17904	ko04919	Thyroid hormone signaling pathway
K10788	ko05310	Asthma
K17448	ko01521	EGFR tyrosine kinase inhibitor resistance
K17448	ko01522	Endocrine resistance
K17448	ko04012	ErbB signaling pathway
K17448	ko04014	Ras signaling pathway
K17448	ko04062	Chemokine signaling pathway
K17448	ko04072	Phospholipase D signaling pathway
K17448	ko04510	Focal adhesion
K17448	ko04650	Natural killer cell mediated cytotoxicity
K17448	ko04722	Neurotrophin signaling pathway
K17448	ko04910	Insulin signaling pathway
K17448	ko04915	Estrogen signaling pathway
K17448	ko04917	Prolactin signaling pathway
K17448	ko04926	Relaxin signaling pathway
K17448	ko05034	Alcoholism
K17448	ko05100	Bacterial invasion of epithelial cells
K17448	ko05214	Glioma
K17448	ko05220	Chronic myeloid leukemia
K17448	ko05224	Breast cancer
K17448	ko05225	Hepatocellular carcinoma
K17448	ko05226	Gastric cancer
K16673	ko04391	Hippo signaling pathway - fly
K12135	ko04712	Circadian rhythm - plant
K11424	ko00310	Lysine degradation
K11424	ko05202	Transcriptional misregulation in cancer
K16630	ko04974	Protein digestion and absorption
K04352	ko04010	MAPK signaling pathway
K04352	ko04013	MAPK signaling pathway - fly
K04352	ko04014	Ras signaling pathway
K04352	ko04360	Axon guidance
K06642	ko03450	Non-homologous end-joining
K06642	ko04110	Cell cycle
K08845	ko01521	EGFR tyrosine kinase inhibitor resistance
K08845	ko01522	Endocrine resistance
K08845	ko04010	MAPK signaling pathway
K08845	ko04012	ErbB signaling pathway
K08845	ko04068	FoxO signaling pathway
K08845	ko04270	Vascular smooth muscle contraction
K08845	ko04650	Natural killer cell mediated cytotoxicity
K08845	ko04720	Long-term potentiation
K08845	ko04726	Serotonergic synapse
K08845	ko04730	Long-term depression
K08845	ko04810	Regulation of actin cytoskeleton
K08845	ko04910	Insulin signaling pathway
K08845	ko04914	Progesterone-mediated oocyte maturation
K08845	ko05034	Alcoholism
K08845	ko05160	Hepatitis C
K08845	ko05200	Pathways in cancer
K08845	ko05205	Proteoglycans in cancer
K08845	ko05210	Colorectal cancer
K08845	ko05211	Renal cell carcinoma
K08845	ko05212	Pancreatic cancer
K08845	ko05213	Endometrial cancer
K08845	ko05214	Glioma
K08845	ko05215	Prostate cancer
K08845	ko05218	Melanoma
K08845	ko05219	Bladder cancer
K08845	ko05220	Chronic myeloid leukemia
K08845	ko05221	Acute myeloid leukemia
K08845	ko05223	Non-small cell lung cancer
K08845	ko05224	Breast cancer
K08845	ko05225	Hepatocellular carcinoma
K08845	ko05226	Gastric cancer
K11434	ko04068	FoxO signaling pathway
K11434	ko04922	Glucagon signaling pathway
K19765	ko04212	Longevity regulating pathway - worm
K10932	ko05110	Vibrio cholerae infection
K10932	ko05111	Biofilm formation - Vibrio cholerae
K15057	ko00627	Aminobenzoate degradation
K15057	ko01120	Microbial metabolism in diverse environments
K10208	ko00906	Carotenoid biosynthesis
K10208	ko01110	Biosynthesis of secondary metabolites
K02753	ko00010	Glycolysis / Gluconeogenesis
K02753	ko02060	Phosphotransferase system (PTS)
K20838	ko00480	Glutathione metabolism
K08022	ko00590	Arachidonic acid metabolism
K08022	ko01100	Metabolic pathways
K08022	ko04726	Serotonergic synapse
K10042	ko04024	cAMP signaling pathway
K03939	ko00190	Oxidative phosphorylation
K03939	ko01100	Metabolic pathways
K03939	ko04723	Retrograde endocannabinoid signaling
K03939	ko04932	Non-alcoholic fatty liver disease (NAFLD)
K03939	ko05010	Alzheimer's disease
K03939	ko05012	Parkinson's disease
K03939	ko05016	Huntington's disease
K09383	ko05202	Transcriptional misregulation in cancer
K00746	ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
K00746	ko01100	Metabolic pathways
K15957	ko01057	Biosynthesis of type II polyketide products
K15957	ko01130	Biosynthesis of antibiotics
K09469	ko01100	Metabolic pathways
K11078	ko02010	ABC transporters
K03408	ko02020	Two-component system
K03408	ko02030	Bacterial chemotaxis
K02007	ko02010	ABC transporters
K13338	ko04146	Peroxisome
K04132	ko04080	Neuroactive ligand-receptor interaction
K04132	ko04725	Cholinergic synapse
K04132	ko04810	Regulation of actin cytoskeleton
K22211	ko00620	Pyruvate metabolism
K22211	ko01120	Microbial metabolism in diverse environments
K05061	ko04060	Cytokine-cytokine receptor interaction
K05061	ko04151	PI3K-Akt signaling pathway
K05061	ko04630	Jak-STAT signaling pathway
K05061	ko04640	Hematopoietic cell lineage
K05061	ko05200	Pathways in cancer
K05870	ko04022	cGMP-PKG signaling pathway
K05870	ko04024	cAMP signaling pathway
K05870	ko04151	PI3K-Akt signaling pathway
K05870	ko04152	AMPK signaling pathway
K05870	ko04211	Longevity regulating pathway
K05870	ko04261	Adrenergic signaling in cardiomyocytes
K05870	ko04380	Osteoclast differentiation
K05870	ko04612	Antigen processing and presentation
K05870	ko04668	TNF signaling pathway
K05870	ko04710	Circadian rhythm
K05870	ko04713	Circadian entrainment
K05870	ko04725	Cholinergic synapse
K05870	ko04728	Dopaminergic synapse
K05870	ko04911	Insulin secretion
K05870	ko04915	Estrogen signaling pathway
K05870	ko04916	Melanogenesis
K05870	ko04918	Thyroid hormone synthesis
K05870	ko04922	Glucagon signaling pathway
K05870	ko04924	Renin secretion
K05870	ko04925	Aldosterone synthesis and secretion
K05870	ko04926	Relaxin signaling pathway
K05870	ko04927	Cortisol synthesis and secretion
K05870	ko04931	Insulin resistance
K05870	ko04962	Vasopressin-regulated water reabsorption
K05870	ko05016	Huntington's disease
K05870	ko05030	Cocaine addiction
K05870	ko05031	Amphetamine addiction
K05870	ko05034	Alcoholism
K05870	ko05152	Tuberculosis
K05870	ko05161	Hepatitis B
K05870	ko05165	Human papillomavirus infection
K05870	ko05166	HTLV-I infection
K05870	ko05167	Kaposi's sarcoma-associated herpesvirus infection
K05870	ko05203	Viral carcinogenesis
K05870	ko05215	Prostate cancer
K03195	ko03070	Bacterial secretion system
K00331	ko00190	Oxidative phosphorylation
K00331	ko01100	Metabolic pathways
K00414	ko00190	Oxidative phosphorylation
K00414	ko01100	Metabolic pathways
K00414	ko04260	Cardiac muscle contraction
K00414	ko04932	Non-alcoholic fatty liver disease (NAFLD)
K00414	ko05010	Alzheimer's disease
K00414	ko05012	Parkinson's disease
K00414	ko05016	Huntington's disease
K09202	ko04111	Cell cycle - yeast
K13296	ko00230	Purine metabolism
K13296	ko04022	cGMP-PKG signaling pathway
K13296	ko04024	cAMP signaling pathway
K13296	ko04371	Apelin signaling pathway
K13296	ko04910	Insulin signaling pathway
K13296	ko04914	Progesterone-mediated oocyte maturation
K13296	ko04922	Glucagon signaling pathway
K13296	ko04923	Regulation of lipolysis in adipocytes
K13296	ko04924	Renin secretion
K13296	ko05032	Morphine addiction
K01206	ko00511	Other glycan degradation
K01884	ko00970	Aminoacyl-tRNA biosynthesis
K13352	ko04146	Peroxisome
K07684	ko02020	Two-component system
K01549	ko00190	Oxidative phosphorylation
K12463	ko04722	Neurotrophin signaling pathway
K21221	ko01059	Biosynthesis of enediyne antibiotics
K12349	ko00600	Sphingolipid metabolism
K12349	ko01100	Metabolic pathways
K12349	ko04071	Sphingolipid signaling pathway
K01044	ko00983	Drug metabolism - other enzymes
K01044	ko01100	Metabolic pathways
K16158	ko00680	Methane metabolism
K16158	ko01100	Metabolic pathways
K16158	ko01120	Microbial metabolism in diverse environments
K16158	ko01200	Carbon metabolism
K16158	ko01220	Degradation of aromatic compounds
K19801	ko00562	Inositol phosphate metabolism
K19801	ko01100	Metabolic pathways
K19801	ko04070	Phosphatidylinositol signaling system
K14974	ko00760	Nicotinate and nicotinamide metabolism
K14974	ko01120	Microbial metabolism in diverse environments
K10726	ko03030	DNA replication
K02151	ko00190	Oxidative phosphorylation
K02151	ko01100	Metabolic pathways
K02151	ko04145	Phagosome
K02151	ko04150	mTOR signaling pathway
K02151	ko04721	Synaptic vesicle cycle
K02151	ko04966	Collecting duct acid secretion
K02151	ko05110	Vibrio cholerae infection
K02151	ko05120	Epithelial cell signaling in Helicobacter pylori infection
K02151	ko05323	Rheumatoid arthritis
K19843	ko04011	MAPK signaling pathway - yeast
K21128	ko04657	IL-17 signaling pathway
K19982	ko00404	Staurosporine biosynthesis
K19982	ko01130	Biosynthesis of antibiotics
K00602	ko00230	Purine metabolism
K00602	ko00670	One carbon pool by folate
K00602	ko01100	Metabolic pathways
K00602	ko01110	Biosynthesis of secondary metabolites
K00602	ko01130	Biosynthesis of antibiotics
K00602	ko01523	Antifolate resistance
K00422	ko00350	Tyrosine metabolism
K00422	ko00950	Isoquinoline alkaloid biosynthesis
K00422	ko01100	Metabolic pathways
K00422	ko01110	Biosynthesis of secondary metabolites
K01728	ko00040	Pentose and glucuronate interconversions
K01728	ko02024	Quorum sensing
K02399	ko02040	Flagellar assembly
K12914	ko00440	Phosphonate and phosphinate metabolism
K12914	ko01130	Biosynthesis of antibiotics
K10246	ko00062	Fatty acid elongation
K10246	ko01040	Biosynthesis of unsaturated fatty acids
K10246	ko01110	Biosynthesis of secondary metabolites
K10246	ko01212	Fatty acid metabolism
K22215	ko00052	Galactose metabolism
K22215	ko01100	Metabolic pathways
K14567	ko03008	Ribosome biogenesis in eukaryotes
K04579	ko04080	Neuroactive ligand-receptor interaction
K20319	ko01501	beta-Lactam resistance
K10237	ko02010	ABC transporters
K03816	ko00230	Purine metabolism
K03816	ko01100	Metabolic pathways
K03816	ko01110	Biosynthesis of secondary metabolites
K02341	ko00230	Purine metabolism
K02341	ko00240	Pyrimidine metabolism
K02341	ko01100	Metabolic pathways
K02341	ko03030	DNA replication
K02341	ko03430	Mismatch repair
K02341	ko03440	Homologous recombination
K15296	ko04138	Autophagy - yeast
K15296	ko04721	Synaptic vesicle cycle
K18687	ko00984	Steroid degradation
K18687	ko01100	Metabolic pathways
K18687	ko01120	Microbial metabolism in diverse environments
K14577	ko00460	Cyanoamino acid metabolism
K14577	ko01110	Biosynthesis of secondary metabolites
K15877	ko00910	Nitrogen metabolism
K15877	ko01120	Microbial metabolism in diverse environments
K17332	ko04022	cGMP-PKG signaling pathway
K17332	ko04218	Cellular senescence
K17332	ko04310	Wnt signaling pathway
K17332	ko04360	Axon guidance
K17332	ko04370	VEGF signaling pathway
K17332	ko04380	Osteoclast differentiation
K17332	ko04650	Natural killer cell mediated cytotoxicity
K17332	ko04658	Th1 and Th2 cell differentiation
K17332	ko04659	Th17 cell differentiation
K17332	ko04660	T cell receptor signaling pathway
K17332	ko04662	B cell receptor signaling pathway
K17332	ko04921	Oxytocin signaling pathway
K17332	ko05161	Hepatitis B
K17332	ko05166	HTLV-I infection
K17332	ko05167	Kaposi's sarcoma-associated herpesvirus infection
K05534	ko00513	Various types of N-glycan biosynthesis
K05534	ko01100	Metabolic pathways
K07674	ko02020	Two-component system
K10071	ko05167	Kaposi's sarcoma-associated herpesvirus infection
K00417	ko00190	Oxidative phosphorylation
K00417	ko01100	Metabolic pathways
K00417	ko04260	Cardiac muscle contraction
K00417	ko04932	Non-alcoholic fatty liver disease (NAFLD)
K00417	ko05010	Alzheimer's disease
K00417	ko05012	Parkinson's disease
K00417	ko05016	Huntington's disease
K05734	ko04012	ErbB signaling pathway
K05734	ko04014	Ras signaling pathway
K05734	ko04360	Axon guidance
K05734	ko04510	Focal adhesion
K05734	ko04660	T cell receptor signaling pathway
K05734	ko04810	Regulation of actin cytoskeleton
K05734	ko05206	MicroRNAs in cancer
K05734	ko05211	Renal cell carcinoma
K04278	ko04080	Neuroactive ligand-receptor interaction
K13055	ko04114	Oocyte meiosis
K00632	ko00071	Fatty acid degradation
K00632	ko00280	Valine, leucine and isoleucine degradation
K00632	ko00281	Geraniol degradation
K00632	ko00362	Benzoate degradation
K00632	ko00592	alpha-Linolenic acid metabolism
K00632	ko00642	Ethylbenzene degradation
K00632	ko01100	Metabolic pathways
K00632	ko01110	Biosynthesis of secondary metabolites
K00632	ko01120	Microbial metabolism in diverse environments
K00632	ko01130	Biosynthesis of antibiotics
K00632	ko01212	Fatty acid metabolism
K00217	ko00361	Chlorocyclohexane and chlorobenzene degradation
K00217	ko00362	Benzoate degradation
K00217	ko00364	Fluorobenzoate degradation
K00217	ko00623	Toluene degradation
K00217	ko01100	Metabolic pathways
K00217	ko01120	Microbial metabolism in diverse environments
K00217	ko01220	Degradation of aromatic compounds
K11063	ko02024	Quorum sensing
K03033	ko03050	Proteasome
K03033	ko05169	Epstein-Barr virus infection
K01137	ko00531	Glycosaminoglycan degradation
K01137	ko01100	Metabolic pathways
K01137	ko04142	Lysosome
K17547	ko00515	Mannose type O-glycan biosynthesis
K17547	ko01100	Metabolic pathways
K03074	ko03060	Protein export
K03074	ko03070	Bacterial secretion system
K02412	ko02040	Flagellar assembly
K20597	ko00524	Neomycin, kanamycin and gentamicin biosynthesis
K20597	ko01130	Biosynthesis of antibiotics
K05728	ko05120	Epithelial cell signaling in Helicobacter pylori infection
K20008	ko04214	Apoptosis - fly
K20008	ko04215	Apoptosis - multiple species
K05940	ko04146	Peroxisome
K15053	ko04144	Endocytosis
K15053	ko04217	Necroptosis
K12316	ko00052	Galactose metabolism
K12316	ko00500	Starch and sucrose metabolism
K12316	ko01100	Metabolic pathways
K12316	ko04142	Lysosome
K13882	ko04145	Phagosome
K13882	ko05152	Tuberculosis
K04147	ko04080	Neuroactive ligand-receptor interaction
K04147	ko04728	Dopaminergic synapse
K02257	ko00190	Oxidative phosphorylation
K02257	ko00860	Porphyrin and chlorophyll metabolism
K02257	ko01100	Metabolic pathways
K02257	ko01110	Biosynthesis of secondary metabolites
K20334	ko02024	Quorum sensing
K07696	ko02020	Two-component system
K16344	ko04150	mTOR signaling pathway
K16344	ko05161	Hepatitis B
K12798	ko04621	NOD-like receptor signaling pathway
K12509	ko01110	Biosynthesis of secondary metabolites
K12509	ko01130	Biosynthesis of antibiotics
K10567	ko03410	Base excision repair
K11326	ko02020	Two-component system
K13271	ko00944	Flavone and flavonol biosynthesis
K10140	ko03420	Nucleotide excision repair
K10140	ko04115	p53 signaling pathway
K10140	ko04120	Ubiquitin mediated proteolysis
K10140	ko05161	Hepatitis B
K10140	ko05200	Pathways in cancer
K10140	ko05202	Transcriptional misregulation in cancer
K10140	ko05210	Colorectal cancer
K10140	ko05212	Pancreatic cancer
K10140	ko05213	Endometrial cancer
K10140	ko05214	Glioma
K10140	ko05216	Thyroid cancer
K10140	ko05217	Basal cell carcinoma
K10140	ko05218	Melanoma
K10140	ko05220	Chronic myeloid leukemia
K10140	ko05222	Small cell lung cancer
K10140	ko05223	Non-small cell lung cancer
K10140	ko05224	Breast cancer
K10140	ko05225	Hepatocellular carcinoma
K10140	ko05226	Gastric cancer
K03416	ko00640	Propanoate metabolism
K07818	ko04210	Apoptosis
K07818	ko04650	Natural killer cell mediated cytotoxicity
K07818	ko04940	Type I diabetes mellitus
K07818	ko05320	Autoimmune thyroid disease
K07818	ko05330	Allograft rejection
K07818	ko05332	Graft-versus-host disease
K07818	ko05416	Viral myocarditis
K03729	ko04710	Circadian rhythm
K16330	ko00240	Pyrimidine metabolism
K03937	ko00190	Oxidative phosphorylation
K03937	ko01100	Metabolic pathways
K03937	ko04723	Retrograde endocannabinoid signaling
K03937	ko04932	Non-alcoholic fatty liver disease (NAFLD)
K03937	ko05010	Alzheimer's disease
K03937	ko05012	Parkinson's disease
K03937	ko05016	Huntington's disease
K08028	ko04950	Maturity onset diabetes of the young
K01313	ko04080	Neuroactive ligand-receptor interaction
K01313	ko04610	Complement and coagulation cascades
K01313	ko04810	Regulation of actin cytoskeleton
K00301	ko00260	Glycine, serine and threonine metabolism
K00301	ko01100	Metabolic pathways
K04557	ko05012	Parkinson's disease
K00800	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
K00800	ko01100	Metabolic pathways
K00800	ko01110	Biosynthesis of secondary metabolites
K00800	ko01130	Biosynthesis of antibiotics
K00800	ko01230	Biosynthesis of amino acids
K15414	ko05168	Herpes simplex infection
K04020	ko00620	Pyruvate metabolism
K04020	ko01100	Metabolic pathways
K14541	ko00220	Arginine biosynthesis
K14541	ko00791	Atrazine degradation
K14541	ko01100	Metabolic pathways
K14541	ko01120	Microbial metabolism in diverse environments
K01404	ko05140	Leishmaniasis
K01404	ko05143	African trypanosomiasis
K03883	ko00190	Oxidative phosphorylation
K03883	ko01100	Metabolic pathways
K03883	ko04723	Retrograde endocannabinoid signaling
K03883	ko05012	Parkinson's disease
K05780	ko00440	Phosphonate and phosphinate metabolism
K05037	ko04726	Serotonergic synapse
K06233	ko04340	Hedgehog signaling pathway
K06233	ko04918	Thyroid hormone synthesis
K06233	ko04979	Cholesterol metabolism
K07889	ko04014	Ras signaling pathway
K07889	ko04144	Endocytosis
K07889	ko04145	Phagosome
K07889	ko04962	Vasopressin-regulated water reabsorption
K07889	ko05146	Amoebiasis
K07889	ko05152	Tuberculosis
K04971	ko04621	NOD-like receptor signaling pathway
K04971	ko04750	Inflammatory mediator regulation of TRP channels
K09291	ko03013	RNA transport
K09291	ko05200	Pathways in cancer
K09291	ko05216	Thyroid cancer
K13587	ko02020	Two-component system
K13587	ko04112	Cell cycle - Caulobacter
K15778	ko00010	Glycolysis / Gluconeogenesis
K15778	ko00030	Pentose phosphate pathway
K15778	ko00051	Fructose and mannose metabolism
K15778	ko00052	Galactose metabolism
K15778	ko00230	Purine metabolism
K15778	ko00500	Starch and sucrose metabolism
K15778	ko00520	Amino sugar and nucleotide sugar metabolism
K15778	ko00521	Streptomycin biosynthesis
K15778	ko01100	Metabolic pathways
K15778	ko01110	Biosynthesis of secondary metabolites
K15778	ko01120	Microbial metabolism in diverse environments
K15778	ko01130	Biosynthesis of antibiotics
K07595	ko04930	Type II diabetes mellitus
K07595	ko04950	Maturity onset diabetes of the young
